grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-86.167,39.766,96,66836,None,None,326,56540,325,56342,324,56144,None,None,None,None,None,None,LTE,0,0,0,0,2,6294,40,0.006355259,1147,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,311,1100,311,176930,233,47090,232,47291,231,47489,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,45,0.035714286,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,311,1100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,1260,49,0.038888889,125,49,0.392,109.6483265,40.64535774,8.88544,68.85184,77.65248,102.81024,141.7056,164.311168,217.90592
-86.167,39.7665,311,1100,311,176930,233,47090,232,47291,231,47489,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,50,0.03968254,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,311,66586,311,176930,311,66836,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,187,0.148412698,125,45,0.36,31.10544356,7.361448198,5.52096,23.34016,29.8432,31.29312,34.9536,39.543808,42.21536
-86.167,39.7665,311,66586,311,176930,311,67086,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,182,0.144444444,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,311,66836,311,176930,311,66586,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,66,0.052380952,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,311,66836,311,176930,311,67086,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,51,0.04047619,125,31,0.248,58.27677677,32.20812847,2.00048,10.20456,42.36168,53.94272,91.66736,91.66736,141.02632
-86.167,39.7665,389,1100,311,176930,389,66586,389,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,62,0.049206349,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,389,1100,None,None,389,66586,389,66836,389,5230,None,None,None,None,None,None,LTE,0,0,0,0,2,1260,18,0.014285714,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,389,66836,311,176930,389,1100,389,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,81,0.064285714,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,4,66586,96,176930,96,1100,4,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,34,0.026984127,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,4,66836,96,176930,96,1100,4,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,34,0.026984127,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,432,66836,311,176930,61,1100,432,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,84,0.066666667,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,432,66836,None,None,432,66586,61,1100,432,5230,None,None,None,None,None,None,LTE,0,0,0,0,2,1260,48,0.038095238,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,96,1100,96,176930,96,66586,96,67086,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,58,0.046031746,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,96,66836,311,176930,96,67086,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,33,0.026190476,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,96,66836,96,176930,96,66586,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,44,0.034920635,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,96,66836,96,176930,96,67086,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1260,100,0.079365079,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7665,96,66836,None,None,326,56540,325,56342,324,56144,None,None,None,None,None,None,LTE,0,0,0,0,2,1260,34,0.026984127,125,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,311,1100,311,176930,233,47090,232,47291,231,47489,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,402,0.207859359,110,4,0.036363636,0.2921,0.004537973,0.28424,0.287384,0.2921,0.29472,0.29472,0.29472,0.29472
-86.167,39.767,311,1100,96,176930,233,47090,232,47291,231,47489,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,5,0.002585315,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,311,1100,None,None,242,56540,240,56144,241,56342,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,3,0.001551189,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,311,1100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,42,0.021716649,110,42,0.381818182,174.5940876,37.86840698,75.16032,125.96032,146.11936,184.44704,195.20144,221.211776,252.95488
-86.167,39.767,389,1100,None,None,389,66586,389,66836,389,5230,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,109,0.056359876,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,309,66586,309,176930,309,66836,309,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,41,0.021199586,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,309,66586,309,176930,309,67086,309,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,41,0.021199586,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,309,66586,311,176930,309,66836,309,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,29,0.014994829,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,309,66586,311,176930,309,67086,309,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,9,0.004653568,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,309,66586,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,19,0.009824199,110,19,0.172727273,27.62352842,6.779855629,14.66976,18.654336,23.93312,28.57344,31.82944,34.74912,41.23584
-86.167,39.767,311,1100,311,176930,233,47090,232,47291,231,47489,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,50,0.025853154,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,311,66586,309,176930,311,66836,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,6,0.003102378,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,311,66586,309,176930,311,67086,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,4,0.002068252,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,311,66586,311,176930,311,66836,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,200,0.103412616,110,9,0.081818182,25.52028444,2.813146439,20.82016,23.244992,24.03744,24.93472,26.45056,29.454528,30.85536
-86.167,39.767,311,66586,311,176930,311,67086,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,206,0.106514995,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,311,66586,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,9,0.004653568,110,9,0.081818182,30.33262222,4.748273883,23.96064,23.96064,24.48608,31.55072,33.92512,35.744256,36.19072
-86.167,39.767,311,66836,311,176930,311,66586,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,210,0.108583247,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,311,66836,311,176930,311,67086,311,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,48,0.024819028,110,27,0.245454545,76.47501333,63.82263856,0.12096,18.818384,19.01416,43.78496,127.78868,178.51864,182.26136
-86.167,39.767,387,66586,309,176930,387,1100,387,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,10,0.005170631,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,389,1100,311,176930,389,66586,389,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,11,0.005687694,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,389,1100,698,2078331,389,66586,389,66836,389,5230,None,None,None,None,None,None,LTE+MW,1,0,100,1,3,1934,40,0.020682523,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,389,1100,698,2078331,389,66836,389,66586,389,5230,None,None,None,None,None,None,LTE+MW,1,0,100,1,3,1934,24,0.012409514,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,389,1100,None,None,389,66586,389,66836,389,5230,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,5,0.002585315,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,389,1100,None,None,389,66836,389,66586,389,5230,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,8,0.004136505,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,389,66836,311,176930,389,1100,389,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,46,0.023784902,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,4,66586,96,176930,96,1100,4,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,11,0.005687694,110,0,0,0,0,0,0,0,0,0,0,0
