grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-87.632,41.892,12,67086,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,47,0.006858310229096746,1591,47,0.0295411690760528,25.157851914893623,11.169899177211338,4.99136,11.027904,16.654960000000003,24.340320000000002,35.318479999999994,39.60624,46.731199999999994,
-87.632,41.892,44,1025,None,None,44,675,44,5330,44,66686,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,63,0.009193054136874362,1591,63,0.039597737272155875,6.813648253968255,2.6098919876175497,2.1652799999999996,3.6596159999999998,4.747039999999999,7.0865599999999995,8.46112,10.498784,12.763199999999998,
-87.632,41.892,44,5110,None,None,44,675,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,168,0.024514811031664963,1591,168,0.10559396605908233,21.330390476190473,20.876493514849816,0.5784,1.38272,4.12576,14.51616,29.35196,56.039584,78.228,
-87.632,41.892,44,9820,846,174270,44,1025,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,6853,49,0.007150153217568948,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,44,9820,None,None,44,5330,44,66686,44,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,68,0.009922661608054866,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,44,66686,None,None,44,675,44,5330,44,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,11,0.0016051364365971107,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,44,67086,846,174270,44,1025,44,66686,44,675,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,6853,2,0.00029184298847220193,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,44,67086,846,174270,44,1025,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,6853,1,0.00014592149423610097,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,44,67086,None,None,44,675,44,5330,44,66686,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,98,0.014300306435137897,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,44,67086,None,None,44,675,44,9820,44,66686,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,41,0.00598278126368014,1591,41,0.025769956002514142,23.94064975609756,9.192417083902994,2.7270399999999997,11.804479999999998,18.05328,23.518639999999998,31.538719999999998,34.39152,41.50944,
